Postal Code,Borough,Neighborhood
10101,Nuevo Distrito Nacional,Centro de Los Heroes
10102,Nuevo Distrito Nacional,Mata Hambre
10103,Nuevo Distrito Nacional,Zona Universitaria
10104,Nuevo Distrito Nacional,San Geronimo
10105,Nuevo Distrito Nacional,Ciudad Universitaria
10106,Nuevo Distrito Nacional,Los Robles
10107,Nuevo Distrito Nacional,Esperilla
10107,Nuevo Distrito Nacional,El Vergel
10108,Nuevo Distrito Nacional,Esperilla
10108,Nuevo Distrito Nacional,El Manguito
10109,Nuevo Distrito Nacional,La Julia
10110,Nuevo Distrito Nacional,El Embajador
10111,Nuevo Distrito Nacional,Bella Vista
10112,Nuevo Distrito Nacional,Bella Vista
10113,Nuevo Distrito Nacional,Sarasota
10114,Nuevo Distrito Nacional,Mirador Norte
10115,Nuevo Distrito Nacional,Rocamar
10115,Nuevo Distrito Nacional,El Portal
10115,Nuevo Distrito Nacional,Atala
10116,Nuevo Distrito Nacional,Ciudad Gandera
10116,Nuevo Distrito Nacional,30 de Mayo
10117,Nuevo Distrito Nacional,Hoduras
10117,Nuevo Distrito Nacional,Ensanche La Paz
10118,Nuevo Distrito Nacional,Los Arrecifes
10118,Nuevo Distrito Nacional,El Cacique
10118,Nuevo Distrito Nacional,Costa Brava
10118,Nuevo Distrito Nacional,Antillas
10119,Nuevo Distrito Nacional,Naco
10120,Nuevo Distrito Nacional,La Yuca
10121,Nuevo Distrito Nacional,Arboleda (naco)
10122,Nuevo Distrito Nacional,Naco
10122,Nuevo Distrito Nacional,Centro Olimpico
10123,Nuevo Distrito Nacional,Naco
10124,Nuevo Distrito Nacional,Naco
10125,Nuevo Distrito Nacional,Lopez de Vega
10126,Nuevo Distrito Nacional,Paraiso
10127,Nuevo Distrito Nacional,Piantini
10128,Nuevo Distrito Nacional,Carmelita
10129,Nuevo Distrito Nacional,Urbanizacion Fernandez
10130,Nuevo Distrito Nacional,Los Praditos
10130,Nuevo Distrito Nacional,Julieta Morales
10131,Nuevo Distrito Nacional,Los Prados
10132,Nuevo Distrito Nacional,Los Prados
10133,Nuevo Distrito Nacional,Castellana
10134,Nuevo Distrito Nacional,San Geronimo
10135,Nuevo Distrito Nacional,Urbanizacion Las Praderas
10135,Nuevo Distrito Nacional,Encarnacion
10135,Nuevo Distrito Nacional,Ciudad Moderna
10136,Nuevo Distrito Nacional,Residencial Rosmil
10137,Nuevo Distrito Nacional,Los Restauradores
10138,Nuevo Distrito Nacional,Manganagua
10139,Nuevo Distrito Nacional,Los Millones
10140,Nuevo Distrito Nacional,Los Millones
10141,Nuevo Distrito Nacional,Los Millones
10142,Nuevo Distrito Nacional,Los Millones
10143,Nuevo Distrito Nacional,Estela Marina (los Millones)
10144,Nuevo Distrito Nacional,Los Millones
10145,Nuevo Distrito Nacional,Ensanche Quisqueya
10146,Nuevo Distrito Nacional,Ensanche Quisqueya
10147,Nuevo Distrito Nacional,Evaristo Morales
10148,Nuevo Distrito Nacional,Piantini
10149,Nuevo Distrito Nacional,El Millon
10150,Nuevo Distrito Nacional,Piantini
10201,Nuevo Distrito Nacional,Don Bosco
10202,Nuevo Distrito Nacional,Don Bosco
10203,Nuevo Distrito Nacional,Miraflores
10204,Nuevo Distrito Nacional,Gazcue (plaza de La Cultura)
10205,Nuevo Distrito Nacional,Gazcue
10206,Nuevo Distrito Nacional,Ensanche Independencia
10207,Nuevo Distrito Nacional,La Primavera
10208,Nuevo Distrito Nacional,Ciudad Nueva
10209,Nuevo Distrito Nacional,Ensanche Lugo
10210,Nuevo Distrito Nacional,Zona Colonial
10211,Nuevo Distrito Nacional,San Lazaro
10212,Nuevo Distrito Nacional,San Miguel
10213,Nuevo Distrito Nacional,Borojol
10214,Nuevo Distrito Nacional,Villa Francisca
10215,Nuevo Distrito Nacional,Villa Francisca
10216,Nuevo Distrito Nacional,San Carlos
10217,Nuevo Distrito Nacional,San Carlos
10218,Nuevo Distrito Nacional,Reparto Aguedita (gazcue)
10301,Nuevo Distrito Nacional,Mejoramiento Social
10302,Nuevo Distrito Nacional,San Martin de Porres
10302,Nuevo Distrito Nacional,Maria Auxiliadora
10302,Nuevo Distrito Nacional,La Fuente
10302,Nuevo Distrito Nacional,Guachupita
10303,Nuevo Distrito Nacional,La Cienaga
10304,Nuevo Distrito Nacional,Los Guandules
10304,Nuevo Distrito Nacional,Domingo Savio
10305,Nuevo Distrito Nacional,Maria Auxiliadora
10305,Nuevo Distrito Nacional,Agua Dulce
10305,Nuevo Distrito Nacional,27 de Febrero
10306,Nuevo Distrito Nacional,Mejoramiento Social
10307,Nuevo Distrito Nacional,Villa Maria
10308,Nuevo Distrito Nacional,Villa Consuelo
10309,Nuevo Distrito Nacional,Villa Consuelo
10401,Nuevo Distrito Nacional,Ensanche Luperon
10402,Nuevo Distrito Nacional,Ensanche Espaillat
10403,Nuevo Distrito Nacional,Gualey
10404,Nuevo Distrito Nacional,24 de Abril
10405,Nuevo Distrito Nacional,Simon Bolivar
10406,Nuevo Distrito Nacional,Ensanche Luperon
10407,Nuevo Distrito Nacional,Capotillo
10408,Nuevo Distrito Nacional,La Zurza
10409,Nuevo Distrito Nacional,Villas Agricolas
10410,Nuevo Distrito Nacional,Villas Agricolas
10410,Nuevo Distrito Nacional,La Caridad
10411,Nuevo Distrito Nacional,El Ensanchito
10412,Nuevo Distrito Nacional,Villa Juana
10413,Nuevo Distrito Nacional,Villa Juana
10501,Nuevo Distrito Nacional,Trueva
10501,Nuevo Distrito Nacional,El Caliche
10501,Nuevo Distrito Nacional,Cristo Rey
10502,Nuevo Distrito Nacional,Yaquito
10502,Nuevo Distrito Nacional,Santa Rosa
10502,Nuevo Distrito Nacional,Las Flores
10502,Nuevo Distrito Nacional,La Cuarenta
10503,Nuevo Distrito Nacional,Parque Isabela
10503,Nuevo Distrito Nacional,La Isabela
10504,Nuevo Distrito Nacional,Isabel Villas
10504,Nuevo Distrito Nacional,Cuesta Hermosa III
10504,Nuevo Distrito Nacional,Cuesta Hermosa III
10504,Nuevo Distrito Nacional,Cerros de Arroyo Hondo
10505,Nuevo Distrito Nacional,Urbanizacion Puerta de Hierro
10505,Nuevo Distrito Nacional,Pista de Motocros La Yuca
10505,Nuevo Distrito Nacional,Manzano
10505,Nuevo Distrito Nacional,La Meseta
10505,Nuevo Distrito Nacional,Fundacion
10505,Nuevo Distrito Nacional,Cuesta Brava
10505,Nuevo Distrito Nacional,Buena Vista
10505,Nuevo Distrito Nacional,Arroyo Manzano
10505,Nuevo Distrito Nacional,Arroyo Manzano
10506,Nuevo Distrito Nacional,Altos de Arroyo Hondo II
10507,Nuevo Distrito Nacional,Los Arroyos
10507,Nuevo Distrito Nacional,Lomas de Arroyo Hondo
10507,Nuevo Distrito Nacional,La Puya
10507,Nuevo Distrito Nacional,Cuesta Hermosa
10507,Nuevo Distrito Nacional,Colinas de Arroyo Hondo
10508,Nuevo Distrito Nacional,Los Pinos
10508,Nuevo Distrito Nacional,La Aldaba
10508,Nuevo Distrito Nacional,El Pino
10509,Nuevo Distrito Nacional,La Agustinita
10509,Nuevo Distrito Nacional,Carmen Amelia
10510,Nuevo Distrito Nacional,Viejo Arroyo Hondo
